INSERT INTO BookCopy VALUES ('BC00001', 'GOOD', 'AVAILABLE', 'BK00118');
INSERT INTO BookCopy VALUES ('BC00002', 'GOOD', 'RESERVED', 'BK00031');
INSERT INTO BookCopy VALUES ('BC00003', 'LOST', 'UNAVAILABLE', 'BK00097');
INSERT INTO BookCopy VALUES ('BC00004', 'GOOD', 'AVAILABLE', 'BK00006');
INSERT INTO BookCopy VALUES ('BC00005', 'GOOD', 'AVAILABLE', 'BK00068');
INSERT INTO BookCopy VALUES ('BC00006', 'GOOD', 'AVAILABLE', 'BK00075');
INSERT INTO BookCopy VALUES ('BC00007', 'LOST', 'UNAVAILABLE', 'BK00099');
INSERT INTO BookCopy VALUES ('BC00008', 'GOOD', 'AVAILABLE', 'BK00111');
INSERT INTO BookCopy VALUES ('BC00009', 'GOOD', 'AVAILABLE', 'BK00037');
INSERT INTO BookCopy VALUES ('BC00010', 'GOOD', 'AVAILABLE', 'BK00014');
INSERT INTO BookCopy VALUES ('BC00011', 'GOOD', 'AVAILABLE', 'BK00100');
INSERT INTO BookCopy VALUES ('BC00012', 'GOOD', 'AVAILABLE', 'BK00101');
INSERT INTO BookCopy VALUES ('BC00013', 'GOOD', 'AVAILABLE', 'BK00054');
INSERT INTO BookCopy VALUES ('BC00014', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00015', 'GOOD', 'BORROWED', 'BK00023');
INSERT INTO BookCopy VALUES ('BC00016', 'GOOD', 'AVAILABLE', 'BK00036');
INSERT INTO BookCopy VALUES ('BC00017', 'GOOD', 'AVAILABLE', 'BK00056');
INSERT INTO BookCopy VALUES ('BC00018', 'GOOD', 'AVAILABLE', 'BK00124');
INSERT INTO BookCopy VALUES ('BC00019', 'GOOD', 'AVAILABLE', 'BK00098');
INSERT INTO BookCopy VALUES ('BC00020', 'GOOD', 'AVAILABLE', 'BK00147');
INSERT INTO BookCopy VALUES ('BC00021', 'GOOD', 'AVAILABLE', 'BK00039');
INSERT INTO BookCopy VALUES ('BC00022', 'LOST', 'UNAVAILABLE', 'BK00098');
INSERT INTO BookCopy VALUES ('BC00023', 'GOOD', 'AVAILABLE', 'BK00103');
INSERT INTO BookCopy VALUES ('BC00024', 'GOOD', 'AVAILABLE', 'BK00096');
INSERT INTO BookCopy VALUES ('BC00025', 'GOOD', 'AVAILABLE', 'BK00045');
INSERT INTO BookCopy VALUES ('BC00026', 'GOOD', 'AVAILABLE', 'BK00081');
INSERT INTO BookCopy VALUES ('BC00027', 'GOOD', 'AVAILABLE', 'BK00106');
INSERT INTO BookCopy VALUES ('BC00028', 'GOOD', 'AVAILABLE', 'BK00060');
INSERT INTO BookCopy VALUES ('BC00029', 'GOOD', 'AVAILABLE', 'BK00061');
INSERT INTO BookCopy VALUES ('BC00030', 'GOOD', 'AVAILABLE', 'BK00065');
INSERT INTO BookCopy VALUES ('BC00031', 'GOOD', 'AVAILABLE', 'BK00027');
INSERT INTO BookCopy VALUES ('BC00032', 'GOOD', 'RESERVED', 'BK00143');
INSERT INTO BookCopy VALUES ('BC00033', 'GOOD', 'BORROWED', 'BK00111');
INSERT INTO BookCopy VALUES ('BC00034', 'GOOD', 'AVAILABLE', 'BK00079');
INSERT INTO BookCopy VALUES ('BC00035', 'GOOD', 'AVAILABLE', 'BK00080');
INSERT INTO BookCopy VALUES ('BC00036', 'GOOD', 'AVAILABLE', 'BK00056');
INSERT INTO BookCopy VALUES ('BC00037', 'GOOD', 'AVAILABLE', 'BK00135');
INSERT INTO BookCopy VALUES ('BC00038', 'GOOD', 'AVAILABLE', 'BK00004');
INSERT INTO BookCopy VALUES ('BC00039', 'GOOD', 'AVAILABLE', 'BK00005');
INSERT INTO BookCopy VALUES ('BC00040', 'GOOD', 'AVAILABLE', 'BK00104');
INSERT INTO BookCopy VALUES ('BC00041', 'GOOD', 'AVAILABLE', 'BK00090');
INSERT INTO BookCopy VALUES ('BC00042', 'GOOD', 'AVAILABLE', 'BK00087');
INSERT INTO BookCopy VALUES ('BC00043', 'GOOD', 'AVAILABLE', 'BK00115');
INSERT INTO BookCopy VALUES ('BC00044', 'GOOD', 'AVAILABLE', 'BK00036');
INSERT INTO BookCopy VALUES ('BC00045', 'GOOD', 'AVAILABLE', 'BK00078');
INSERT INTO BookCopy VALUES ('BC00046', 'LOST', 'UNAVAILABLE', 'BK00102');
INSERT INTO BookCopy VALUES ('BC00047', 'GOOD', 'AVAILABLE', 'BK00057');
INSERT INTO BookCopy VALUES ('BC00048', 'GOOD', 'AVAILABLE', 'BK00146');
INSERT INTO BookCopy VALUES ('BC00049', 'GOOD', 'AVAILABLE', 'BK00054');
INSERT INTO BookCopy VALUES ('BC00050', 'GOOD', 'AVAILABLE', 'BK00119');
INSERT INTO BookCopy VALUES ('BC00051', 'LIGHTDMG', 'UNDERMAINTENANCE', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00052', 'GOOD', 'AVAILABLE', 'BK00038');
INSERT INTO BookCopy VALUES ('BC00053', 'LOST', 'UNAVAILABLE', 'BK00063');
INSERT INTO BookCopy VALUES ('BC00054', 'GOOD', 'AVAILABLE', 'BK00003');
INSERT INTO BookCopy VALUES ('BC00055', 'GOOD', 'AVAILABLE', 'BK00108');
INSERT INTO BookCopy VALUES ('BC00056', 'GOOD', 'AVAILABLE', 'BK00110');
INSERT INTO BookCopy VALUES ('BC00057', 'GOOD', 'AVAILABLE', 'BK00007');
INSERT INTO BookCopy VALUES ('BC00058', 'GOOD', 'AVAILABLE', 'BK00074');
INSERT INTO BookCopy VALUES ('BC00059', 'GOOD', 'AVAILABLE', 'BK00116');
INSERT INTO BookCopy VALUES ('BC00060', 'GOOD', 'AVAILABLE', 'BK00045');
INSERT INTO BookCopy VALUES ('BC00061', 'GOOD', 'AVAILABLE', 'BK00046');
INSERT INTO BookCopy VALUES ('BC00062', 'GOOD', 'AVAILABLE', 'BK00104');
INSERT INTO BookCopy VALUES ('BC00063', 'GOOD', 'AVAILABLE', 'BK00107');
INSERT INTO BookCopy VALUES ('BC00064', 'GOOD', 'AVAILABLE', 'BK00072');
INSERT INTO BookCopy VALUES ('BC00065', 'GOOD', 'AVAILABLE', 'BK00145');
INSERT INTO BookCopy VALUES ('BC00066', 'GOOD', 'AVAILABLE', 'BK00098');
INSERT INTO BookCopy VALUES ('BC00067', 'GOOD', 'AVAILABLE', 'BK00092');
INSERT INTO BookCopy VALUES ('BC00068', 'GOOD', 'AVAILABLE', 'BK00116');
INSERT INTO BookCopy VALUES ('BC00069', 'GOOD', 'AVAILABLE', 'BK00119');
INSERT INTO BookCopy VALUES ('BC00070', 'GOOD', 'AVAILABLE', 'BK00001');
INSERT INTO BookCopy VALUES ('BC00071', 'GOOD', 'BORROWED', 'BK00091');
INSERT INTO BookCopy VALUES ('BC00072', 'GOOD', 'AVAILABLE', 'BK00128');
INSERT INTO BookCopy VALUES ('BC00073', 'GOOD', 'AVAILABLE', 'BK00051');
INSERT INTO BookCopy VALUES ('BC00074', 'GOOD', 'AVAILABLE', 'BK00129');
INSERT INTO BookCopy VALUES ('BC00075', 'GOOD', 'AVAILABLE', 'BK00086');
INSERT INTO BookCopy VALUES ('BC00076', 'GOOD', 'AVAILABLE', 'BK00047');
INSERT INTO BookCopy VALUES ('BC00077', 'GOOD', 'AVAILABLE', 'BK00103');
INSERT INTO BookCopy VALUES ('BC00078', 'GOOD', 'AVAILABLE', 'BK00012');
INSERT INTO BookCopy VALUES ('BC00079', 'GOOD', 'AVAILABLE', 'BK00107');
