INSERT INTO BorrowDetails VALUES ('BR00001', 'BC00036', TO_DATE('2019-01-17', 'YYYY-MM-DD'), TO_DATE(' 2019-01-17', 'YYYY-MM-DD'), TO_DATE('2019-01-16', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00001', 'BC00199', TO_DATE('2019-01-17', 'YYYY-MM-DD'), TO_DATE(' 2019-01-17', 'YYYY-MM-DD'), TO_DATE('2019-01-16', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00002', 'BC00375', TO_DATE('2019-02-03', 'YYYY-MM-DD'), TO_DATE(' 2019-02-03', 'YYYY-MM-DD'), TO_DATE('2019-02-01', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00001');
INSERT INTO BorrowDetails VALUES ('BR00003', 'BC00235', TO_DATE('2019-02-24', 'YYYY-MM-DD'), TO_DATE(' 2019-02-24', 'YYYY-MM-DD'), TO_DATE(' 2019-02-22', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00003', 'BC00128', TO_DATE('2019-02-24', 'YYYY-MM-DD'), TO_DATE(' 2019-02-24', 'YYYY-MM-DD'), TO_DATE(' 2019-02-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00004', 'BC00117', TO_DATE('2019-03-15', 'YYYY-MM-DD'), TO_DATE(' 2019-03-15', 'YYYY-MM-DD'), TO_DATE('2019-03-12', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00004');
INSERT INTO BorrowDetails VALUES ('BR00004', 'BC00499', TO_DATE('2019-03-15', 'YYYY-MM-DD'), TO_DATE(' 2019-03-15', 'YYYY-MM-DD'), TO_DATE('2019-03-12', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00005', 'BC00321', TO_DATE('2019-03-28', 'YYYY-MM-DD'), TO_DATE('2019-04-04', 'YYYY-MM-DD'), TO_DATE('2019-04-02', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00005', 'BC00365', TO_DATE('2019-03-28', 'YYYY-MM-DD'), TO_DATE('2019-03-28', 'YYYY-MM-DD'), TO_DATE('2019-03-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00006', 'BC00041', TO_DATE('2019-04-08', 'YYYY-MM-DD'), TO_DATE('2019-04-08', 'YYYY-MM-DD'), TO_DATE('2019-04-05', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00006');
INSERT INTO BorrowDetails VALUES ('BR00007', 'BC00007', TO_DATE('2019-04-10', 'YYYY-MM-DD'), TO_DATE('2019-04-10', 'YYYY-MM-DD'), TO_DATE('2019-04-06', 'YYYY-MM-DD'), 'LOST', 'RETURNED', 'FN00007');
INSERT INTO BorrowDetails VALUES ('BR00007', 'BC00164', TO_DATE('2019-04-10', 'YYYY-MM-DD'), TO_DATE('2019-04-10', 'YYYY-MM-DD'), TO_DATE('2019-04-06', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00008');
INSERT INTO BorrowDetails VALUES ('BR00008', 'BC00032', TO_DATE('2019-04-19', 'YYYY-MM-DD'), TO_DATE('2019-04-19', 'YYYY-MM-DD'), TO_DATE('2019-04-15', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00008', 'BC00003', TO_DATE('2019-04-19', 'YYYY-MM-DD'), TO_DATE('2019-04-19', 'YYYY-MM-DD'), TO_DATE('2019-04-15', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00009', 'BC00030', TO_DATE('2019-04-25', 'YYYY-MM-DD'), TO_DATE('2019-04-25', 'YYYY-MM-DD'), TO_DATE('2019-04-23', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00009', 'BC00089', TO_DATE('2019-04-25', 'YYYY-MM-DD'), TO_DATE('2019-04-25', 'YYYY-MM-DD'), TO_DATE('2019-04-23', 'YYYY-MM-DD'), 'HEAVYDMG', 'RETURNED', 'FN00011');
INSERT INTO BorrowDetails VALUES ('BR00010', 'BC00024', TO_DATE('2019-04-28', 'YYYY-MM-DD'), TO_DATE('2019-04-28', 'YYYY-MM-DD'), TO_DATE('2019-04-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00010', 'BC00371', TO_DATE('2019-04-28', 'YYYY-MM-DD'), TO_DATE('2019-04-28', 'YYYY-MM-DD'), TO_DATE('2019-04-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00011', 'BC00288', TO_DATE('2019-05-08', 'YYYY-MM-DD'), TO_DATE('2019-05-08', 'YYYY-MM-DD'), TO_DATE('2019-05-06', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00011', 'BC00005', TO_DATE('2019-05-08', 'YYYY-MM-DD'), TO_DATE('2019-05-08', 'YYYY-MM-DD'), TO_DATE('2019-05-06', 'YYYY-MM-DD'), 'LIGHTDMG', 'RETURNED', 'FN00012');
INSERT INTO BorrowDetails VALUES ('BR00012', 'BC00059', TO_DATE('2019-05-23', 'YYYY-MM-DD'), TO_DATE('2019-05-30', 'YYYY-MM-DD'), TO_DATE('2019-05-26', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
INSERT INTO BorrowDetails VALUES ('BR00013', 'BC00459', TO_DATE('2019-06-02', 'YYYY-MM-DD'), TO_DATE('2019-06-02', 'YYYY-MM-DD'), TO_DATE('2019-05-31', 'YYYY-MM-DD'), 'GOOD', 'RETURNED', NULL);
