INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00001','BOOKFINE','CONDITION',TO_DATE('2019-02-01', 'YYYY-MM-DD'),TO_DATE('2019-02-08', 'YYYY-MM-DD'),15.48,0.00,15.48,'SETTLED','PY00001');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00002','ROOMFINE','CONDITION',TO_DATE('2019-03-01', 'YYYY-MM-DD'),TO_DATE('2019-03-08', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00003');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00003','ROOMFINE','CONDITION',TO_DATE('2019-03-10', 'YYYY-MM-DD'),TO_DATE('2019-03-17', 'YYYY-MM-DD'),15.00,0.00,15.00,'SETTLED','PY00005');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00004','BOOKFINE','CONDITION',TO_DATE('2019-03-12', 'YYYY-MM-DD'),TO_DATE('2019-03-19', 'YYYY-MM-DD'),18.31,3.00,15.31,'SETTLED','PY00006');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00005','ROOMFINE','CONDITION',TO_DATE('2019-03-23', 'YYYY-MM-DD'),TO_DATE('2019-03-30', 'YYYY-MM-DD'),100.00,0.00,100.00,'SETTLED','PY00007');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00006','BOOKFINE','CONDITION',TO_DATE('2019-04-05', 'YYYY-MM-DD'),TO_DATE('2019-04-12', 'YYYY-MM-DD'),7.68,1.00,6.68,'SETTLED','PY00008');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00007','BOOKFINE','CONDITION',TO_DATE('2019-04-06', 'YYYY-MM-DD'),TO_DATE('2019-04-13', 'YYYY-MM-DD'),56.53,0.00,56.53,'SETTLED','PY00009');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00008','BOOKFINE','CONDITION',TO_DATE('2019-04-06', 'YYYY-MM-DD'),TO_DATE('2019-04-13', 'YYYY-MM-DD'),5.08,0.00,5.08,'SETTLED','PY00010');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00009','BOOKFINE',NULL,TO_DATE('2019-04-15', 'YYYY-MM-DD'),TO_DATE('2019-04-22', 'YYYY-MM-DD'),0.00,0.00,0.00,'CANCELLED',NULL);
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00010','ROOMFINE','CONDITION',TO_DATE('2019-04-15', 'YYYY-MM-DD'),TO_DATE('2019-04-22', 'YYYY-MM-DD'),15.00,1.00,14.00,'SETTLED','PY00012');
INSERT INTO Fine (FineID, FineType, FineReason, FineIssuedDate, FineDueDate, FineCharged, FineDiscountAmount, TotalFineToBePaid, FineStatus, PaymentID) VALUES ('FN00011','BOOKFINE','CONDITION',TO_DATE('2019-04-23', 'YYYY-MM-DD'),TO_DATE('2019-04-30', 'YYYY-MM-DD'),8.75,3.00,5.75,'SETTLED','PY00013');
