INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00001','CASH',TO_DATE('2019-02-05', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00002','CASH',TO_DATE('2019-02-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00003','E-WALLET',TO_DATE('2019-03-06', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00004','CARD',TO_DATE('2019-03-13', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00005','BANK',TO_DATE('2019-03-14', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00006','BANK',TO_DATE('2019-03-16', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00007','E-WALLET',TO_DATE('2019-03-28', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00008','CASH',TO_DATE('2019-04-09', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00009','BANK',TO_DATE('2019-04-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00010','CASH',TO_DATE('2019-04-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00011','BANK',TO_DATE('2019-04-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00012','CASH',TO_DATE('2019-04-19', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00013','CASH',TO_DATE('2019-04-27', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00014','E-WALLET',TO_DATE('2019-05-10', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00015','CARD',TO_DATE('2019-05-15', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00016','BANK',TO_DATE('2019-06-03', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00017','BANK',TO_DATE('2019-06-12', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00018','E-WALLET',TO_DATE('2019-06-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00019','CASH',TO_DATE('2019-06-17', 'YYYY-MM-DD'));
INSERT INTO Payment (PaymentID, PaymentMethod, PaymentDate) VALUES ('PY00020','BANK',TO_DATE('2019-06-21', 'YYYY-MM-DD'));
